epoch,percentage,loss
1,0.7,0.39076668
1,0.7,0.39311594
1,0.7,0.35668901
1,0.7,0.35372445
1,0.7,0.39282885
1,0.7,0.42068613
1,0.7,0.36048603
1,0.7,0.35526028
1,0.7,0.38114142
1,0.7,0.28721631
1,0.7,0.36773989
1,0.7,0.35416120
1,0.7,0.41341951
1,0.7,0.35921857
1,0.7,0.33669162
1,0.7,0.45392537
1,0.7,0.39327070
1,0.7,0.28955546
1,0.7,0.37767151
1,0.7,0.42403871
1,0.7,0.38521823
1,0.7,0.33589467
1,0.7,0.35156813
1,0.7,0.34312859
1,0.7,0.39947519
1,0.7,0.29512346
1,0.7,0.48511514
1,0.7,0.44087157
1,0.7,0.43700200
1,0.7,0.32869300
1,0.7,0.40389675
1,0.7,0.32246965
1,0.7,0.42655814
1,0.7,0.38630694
1,0.7,0.46581221
1,0.7,0.32501030
1,0.7,0.52192402
1,0.7,0.45822242
1,0.7,0.33098519
1,0.7,0.37608263
1,0.7,0.39370060
1,0.7,0.42179653
1,0.7,0.47452986
1,0.7,0.38548636
1,0.7,0.31975302
1,0.7,0.39619347
1,0.7,0.43266723
1,0.7,0.38450694
1,0.7,0.36562908
1,0.7,0.44338930
1,0.7,0.38705406
1,0.7,0.37919104
1,0.7,0.42401746
1,0.7,0.45923647
1,0.7,0.47202682
1,0.7,0.29020256
1,0.7,0.35548431
1,0.7,0.39909869
1,0.7,0.38979152
1,0.7,0.40094164
1,0.7,0.45952398
1,0.7,0.42923540
1,0.7,0.49200958
1,0.7,0.37038368
1,0.7,0.42749563
1,0.7,0.41683280
1,0.7,0.39146492
1,0.7,0.34306207
1,0.8,0.32772928
1,0.8,0.27406600
1,0.8,0.32411444
1,0.8,0.42720896
1,0.8,0.35398304
1,0.8,0.36122054
1,0.8,0.44586647
1,0.8,0.32654703
1,0.8,0.39422345
1,0.8,0.35954714
1,0.8,0.43168595
1,0.8,0.51218319
1,0.8,0.34939584
1,0.8,0.40411848
1,0.8,0.41641963
1,0.8,0.41295266
1,0.8,0.41686273
1,0.8,0.44412336
1,0.8,0.41369522
1,0.8,0.45654947
1,0.8,0.34772247
1,0.8,0.46983990
1,0.8,0.34932661
1,0.8,0.42069310
1,0.8,0.37892741
1,0.8,0.32663867
1,0.8,0.46001199
1,0.8,0.34544632
1,0.8,0.36593559
1,0.8,0.40756494
1,0.8,0.34034234
1,0.8,0.43162626
1,0.8,0.40805006
1,0.8,0.39075443
1,0.8,0.35953394
1,0.8,0.39650953
1,0.8,0.45975694
1,0.8,0.44690016
1,0.8,0.38034022
1,0.8,0.33331618
1,0.8,0.45439664
1,0.8,0.35806379
1,0.8,0.32727233
1,0.8,0.43884251
1,0.8,0.44143558
1,0.8,0.40638170
1,0.8,0.38982052
1,0.8,0.36008033
1,0.8,0.35282591
1,0.8,0.33826858
1,0.8,0.39437005
1,0.8,0.51492482
1,0.8,0.44006768
1,0.8,0.29710773
1,0.8,0.44370008
1,0.8,0.37423006
1,0.8,0.37886313
1,0.8,0.33218086
1,0.8,0.42560744
1,0.8,0.34735802
1,0.8,0.37650257
1,0.8,0.29647711
1,0.8,0.29142106
1,0.8,0.34457013
1,0.8,0.39676663
1,0.8,0.36275795
1,0.8,0.42549208
1,0.8,0.39347485
1,0.8,0.34522912
1,0.9,0.30409577
1,0.9,0.33165443
1,0.9,0.37901390
1,0.9,0.45628521
1,0.9,0.33524480
1,0.9,0.48793235
1,0.9,0.44104692
1,0.9,0.35267529
1,0.9,0.29526451
1,0.9,0.34509203
1,0.9,0.38170075
1,0.9,0.29606175
1,0.9,0.36919060
1,0.9,0.34707722
1,0.9,0.42667475
1,0.9,0.42594665
1,0.9,0.40562236
1,0.9,0.27795082
1,0.9,0.38339218
1,0.9,0.40776351
1,0.9,0.41149563
1,0.9,0.42956257
1,0.9,0.37014532
1,0.9,0.37118763
1,0.9,0.36061537
1,0.9,0.33266497
1,0.9,0.46727663
1,0.9,0.49979681
1,0.9,0.43069813
1,0.9,0.36757073
1,0.9,0.50503725
1,0.9,0.37597057
1,0.9,0.35636127
1,0.9,0.31763908
1,0.9,0.42886773
1,0.9,0.41546702
1,0.9,0.39015728
1,0.9,0.55703360
1,0.9,0.40738198
1,0.9,0.37298563
1,0.9,0.35307828
1,0.9,0.31811860
1,0.9,0.45404181
1,0.9,0.40905452
1,0.9,0.38641343
1,0.9,0.43415260
1,0.9,0.52587235
1,0.9,0.37502289
1,0.9,0.44920912
1,0.9,0.31085214
1,0.9,0.28361407
1,0.9,0.38390821
1,0.9,0.45604926
1,0.9,0.36854151
1,0.9,0.39368975
1,0.9,0.36658540
1,0.9,0.32911518
1,0.9,0.41728416
1,0.9,0.39824188
1,0.9,0.34773627
1,0.9,0.33112392
1,0.9,0.44792011
1,0.9,0.47205168
1,0.9,0.28317386
1,0.9,0.32733685
1,0.9,0.39407480
1,0.9,0.39819488
1,0.9,0.23560853
1,0.9,0.37789348
1,1.0,0.41560835
1,1.0,0.47600064
1,1.0,0.28548023
1,1.0,0.25211054
1,1.0,0.42846200
1,1.0,0.35445428
1,1.0,0.29472843
1,1.0,0.27955818
1,1.0,0.40829808
1,1.0,0.24902169
1,1.0,0.39590615
1,1.0,0.38846257
1,1.0,0.36911595
1,1.0,0.31742650
1,1.0,0.42618632
1,1.0,0.44351166
1,1.0,0.38751736
1,1.0,0.39782774
1,1.0,0.42957532
1,1.0,0.46838444
1,1.0,0.51106715
1,1.0,0.41574579
1,1.0,0.40442610
1,1.0,0.33312586
1,1.0,0.33532497
1,1.0,0.38388845
1,1.0,0.29495242
1,1.0,0.46874967
1,1.0,0.36148703
1,1.0,0.40206531
1,1.0,0.43491277
1,1.0,0.40360135
1,1.0,0.34544799
1,1.0,0.37717748
1,1.0,0.32845074
1,1.0,0.33456397
1,1.0,0.28823948
1,1.0,0.33460838
1,1.0,0.34782034
1,1.0,0.22685082
1,1.0,0.33397773
1,1.0,0.49920681
1,1.0,0.35870492
1,1.0,0.35859135
1,1.0,0.36765063
1,1.0,0.42388442
1,1.0,0.52295554
1,1.0,0.42168272
1,1.0,0.42060897
1,1.0,0.35570657
1,1.0,0.36288384
1,1.0,0.34632644
1,1.0,0.34860805
1,1.0,0.36037454
1,1.0,0.30602539
1,1.0,0.43787819
1,1.0,0.34467274
1,1.0,0.43930802
1,1.0,0.44612417
1,1.0,0.38115036
1,1.0,0.42257786
1,1.0,0.45746571
1,1.0,0.32277277
1,1.0,0.35197389
1,1.0,0.29460230
1,1.0,0.31769687
1,1.0,0.41269737
1,1.0,0.37625578
1,1.0,0.48733607
1,1.1,0.42246196
1,1.1,0.45182642
1,1.1,0.30989116
1,1.1,0.38360876
1,1.1,0.35961053
1,1.1,0.35805881
1,1.1,0.39181989
